OFF_index,OFF_SeasonID,OFF_Total Points Per Game,OFF_Total Points,OFF_Total Touchdowns,OFF_Total 1st downs,OFF_Rushing 1st downs,OFF_Passing 1st downs,OFF_1st downs by penalty,OFF_3rd down efficiency,OFF_3rd down %,OFF_4th down efficiency,OFF_4th down %,OFF_Comp-Att,OFF_Net Passing Yards,OFF_Yards Per Pass Attempt,OFF_Net Passing Yards Per Game,OFF_Passing Touchdowns,OFF_Interceptions,OFF_Sacks-Yards Lost,OFF_Rushing Attempts,OFF_Rushing Yards,OFF_Yards Per Rush Attempt,OFF_Rushing Yards Per Game,OFF_Rushing Touchdowns,OFF_Total Offensive Plays,OFF_Total Yards,OFF_Yards Per Game,OFF_Kickoffs: Total,OFF_Average Kickoff Return Yards,OFF_Punt: Total,OFF_Average Punt Return Yards,OFF_INT: Total,OFF_Average Interception Yards,OFF_Net Average Punt Yards,OFF_Punt: Total Yards,OFF_FG: Good-Attempts,OFF_Touchback Percentage,OFF_Total-Yards,OFF_Avg. Per Game (YDS),OFF_Possession Time Seconds,OFF_Fumbles-Lost,OFF_Turnover Ratio,OFF_Games,OFF_Year,DEF_index,DEF_Total Points Per Game,DEF_Total Points,DEF_Total Touchdowns,DEF_Total 1st downs,DEF_Rushing 1st downs,DEF_Passing 1st downs,DEF_1st downs by penalty,DEF_3rd down efficiency,DEF_3rd down %,DEF_4th down efficiency,DEF_4th down %,DEF_Comp-Att,DEF_Net Passing Yards,DEF_Yards Per Pass Attempt,DEF_Net Passing Yards Per Game,DEF_Passing Touchdowns,DEF_Interceptions,DEF_Sacks-Yards Lost,DEF_Rushing Attempts,DEF_Rushing Yards,DEF_Yards Per Rush Attempt,DEF_Rushing Yards Per Game,DEF_Rushing Touchdowns,DEF_Total Offensive Plays,DEF_Total Yards,DEF_Yards Per Game,DEF_Kickoffs: Total,DEF_Average Kickoff Return Yards,DEF_Punt: Total,DEF_Average Punt Return Yards,DEF_INT: Total,DEF_Average Interception Yards,DEF_Net Average Punt Yards,DEF_Punt: Total Yards,DEF_FG: Good-Attempts,DEF_Touchback Percentage,DEF_Total-Yards,DEF_Avg. Per Game (YDS),DEF_Possession Time Seconds,DEF_Fumbles-Lost,DEF_Turnover Ratio,DEF_Games
60,Offense--atl-2015,21.2,339,38,359,95,230,34,107-227,47.14,10-19,52.63,410-621,4379,7.4,273.7,21,17,32-223,420,1611,3.8,100.7,13,1073,6213,388.3,22-599,27.2,27-255,9.7,15-220,14.7,41.7,"58-2,735",25-31,68,100-969,60,32:19,21-13,-7,16,2015,61,16.4,345,41,335,107,197,31,82-191,42.93,5-15,33.33,370-561,3882,7.1,242.6,19,15,19-117,416,1680,4.0,105.0,20,996,5679,354.9,26-667,25.7,28-272,9.4,17-99,5.8,41.4,"65-2,944",20-26,64,95-728,45.5,28:25,15-8,7,16
62,Offense--atl-2016,33.8,540,63,379,108,239,32,75-178,42.14,8-14,57.14,374-537,4725,9.2,295.3,38,7,37-235,421,1928,4.6,120.5,20,995,6888,430.5,40-905,22.6,24-273,9.6,12-279,23.3,42.1,"48-2,243",34-37,64,104-847,52,30:22,7-4,11,16,2016,63,20.3,406,48,358,95,232,31,89-213,41.78,18-25,72.00,422-655,4267,6.9,266.7,31,12,34-228,370,1672,4.5,104.5,15,1059,6167,385.4,23-484,21.0,23-221,11.4,7-57,8.1,44.0,"66-3,176",23-27,64,113-974,60.875,29:59,21-8,-11,16
64,Offense--atl-2017,22.1,353,36,330,101,200,29,88-197,44.67,4-13,30.77,343-530,3990,7.8,249.4,21,12,24-156,430,1847,4.3,115.4,12,984,5993,374.6,33-863,26.2,27-201,8.1,8-108,13.5,41.5,"53-2,379",34-39,58,102-918,57,29:50,15-6,-2,16,2017,65,15.8,315,33,323,97,197,29,75-196,38.27,13-19,68.42,362-553,3429,6.7,214.3,22,8,39-296,402,1665,4.1,104.1,9,994,5390,336.9,39-871,22.3,22-179,7.4,12-233,19.4,43.6,"66-3,077",28-33,49,103-875,54.688,30:10,19-7,2,16
66,Offense--atl-2018,25.9,414,49,352,84,238,30,92-203,45.32,10-19,52.63,428-617,4653,8.0,290.8,36,7,42-296,351,1573,4.5,98.3,11,1010,6522,407.6,36-818,22.7,21-147,6.8,15-151,10.1,41.0,"60-2,729",25-26,57,101-899,56,29:35,21-11,1,16,2018,67,20.1,423,52,375,115,226,34,95-195,48.72,10-13,76.92,398-585,4153,7.5,259.6,33,15,37-255,409,1999,4.9,124.9,16,1031,6407,400.4,31-689,22.2,27-184,7.0,7-93,13.3,43.7,"60-2,810",22-22,63,"108-1,001",62.563,30:50,18-3,-1,16
68,Offense--atl-2019,23.8,381,42,383,84,258,41,87-207,42.03,13-21,61.91,459-684,4714,7.4,294.6,29,15,50-335,362,1361,3.8,85.1,10,1096,6410,400.6,31-690,22.3,37-263,7.0,12-130,10.8,39.2,"52-2,210",32-40,54,119-956,59,30:55,21-10,-5,16,2019,69,24.9,399,45,330,108,192,30,77-193,39.90,12-20,60.00,351-536,3918,7.7,244.9,28,12,28-219,421,1775,4.2,110.9,13,985,5912,369.5,25-571,22.8,19-133,7.1,15-151,10.1,42.2,"58-2,710",30-34,69,"127-1,080",67.5,29:04,22-3,5,16
70,Offense--atl-2020,24.8,396,41,366,86,243,37,97-221,43.89,15-26,57.69,408-628,4363,7.4,272.7,27,11,41-257,409,1532,3.7,95.8,13,1078,6152,384.5,"43-1,010",23.5,17-152,5.5,12-204,17.0,40.0,"56-2,381",38-40,50,83-736,46,30:42,15-7,3,16,2020,71,25.9,414,49,367,97,239,31,80-195,41.03,10-23,43.48,425-625,4697,7.9,293.6,34,12,29-221,380,1677,4.4,104.8,15,1034,6595,412.2,20-409,20.5,26-142,8.9,11-40,3.6,42.9,"54-2,468",24-28,70,91-800,50,29:17,18-9,-3,16
72,Offense--atl-2021,18.4,313,33,306,75,196,35,82-211,38.86,10-24,41.67,377-573,3713,7.0,218.4,20,15,40-274,393,1451,3.7,85.4,11,1006,5438,319.9,46-999,21.7,23-189,9.0,12-202,16.8,41.9,"65-2,998",27-29,49,92-753,44,28:09,24-11,-6,17,2021,73,27.0,459,56,383,143,214,26,105-217,48.39,11-22,50.00,391-577,3952,7.1,232.5,31,12,18-152,519,2242,4.3,131.9,19,1114,6346,373.3,34-810,23.8,26-235,8.2,15-118,7.9,43.3,"53-2,485",26-28,52,118-956,56.235,31:50,22-8,289,17
74,Offense--atl-2022,21.5,365,38,330,152,148,30,82-196,41.84,9-18,50.00,257-415,2699,7.1,158.8,17,9,37-228,559,2718,4.9,159.9,17,1011,5645,332.1,28-634,22.6,18-292,10.0,10-124,12.4,41.9,"62-2,845",32-37,74,68-594,34,30:02,21-12,-4,17,2022,75,22.7,386,41,351,136,200,15,101-220,45.91,7-17,41.18,372-561,3942,7.3,231.9,26,10,21-148,500,2214,4.4,130.2,15,1082,6304,370.8,21-471,22.4,25-250,16.2,9-171,19.0,39.2,"53-2,446",33-38,68,100-804,47.294,30:26,12-7,281,17
76,Offense--bal-2004,19.8,317,33,260,103,135,22,81-231,35.07,4-15,26.67,258-465,2312,5.5,144.5,13,11,35-247,491,2063,4.2,128.9,11,991,4622,288.9,"65-1,509",23.2,60-616,7.8,21-700,33.3,37.7,"97-3,935",29-32,12,94-894,55,29:49,23-10,0,16,2004,77,12.8,268,27,273,88,158,27,75-218,34.40,2-8,25.00,276-501,3122,6.8,195.1,14,21,39-264,469,1681,3.6,105.1,9,1009,5067,316.7,"61-1,264",20.7,36-281,10.3,11-172,15.6,33.5,"94-3,767",26-31,9,101-798,49.875,30:38,22-12,0,16
78,Offense--bal-2005,16.6,265,25,286,97,163,26,95-243,39.10,11-19,57.90,335-562,3088,6.0,193.0,17,21,42-293,452,1605,3.6,100.3,5,1056,4986,311.6,"62-1,352",21.8,39-431,8.7,11-191,17.4,37.7,"85-3,685",30-35,4,"139-1,067",66,30:42,26-14,0,16,2005,79,14.2,299,30,277,79,161,37,79-219,36.07,4-12,33.33,296-525,2958,6.1,184.9,18,11,42-270,431,1591,3.7,99.4,8,998,4819,301.2,"60-1,289",21.5,55-481,11.1,21-256,12.2,35.7,"89-3,605",29-31,13,110-844,52.75,29:58,26-13,0,16
80,Offense--bal-2006,22.1,353,38,282,86,179,17,96-233,41.20,8-11,72.73,328-524,3435,6.7,214.7,21,14,17-100,476,1637,3.4,102.3,11,1017,5172,323.3,"75-1,636",21.8,45-351,9.2,28-544,19.4,38.3,"86-3,695",28-30,7,109-878,54,32:48,21-8,0,16,2006,81,9.5,199,21,236,59,151,26,60-208,28.85,9-23,39.13,279-509,3011,6.7,188.2,16,28,60-418,367,1214,3.3,75.9,5,936,4643,290.2,"45-1,046",23.2,44-404,7.8,14-142,10.1,40.8,"86-3,864",17-23,14,79-580,36.25,27:11,23-11,0,16
82,Offense--bal-2007,17.2,275,28,291,96,175,20,90-234,38.46,11-21,52.38,341-557,3035,5.9,189.7,13,14,39-273,446,1797,4.0,112.3,11,1042,5105,319.1,"61-1,444",23.7,35-338,9.9,17-212,12.5,38.7,"78-3,397",27-32,10,107-873,54,31:10,33-20,0,16,2007,83,18.2,382,39,258,69,162,27,82-224,36.61,7-13,53.85,293-490,3557,7.6,222.3,27,17,32-183,446,1268,2.8,79.3,9,968,5008,313.0,"65-1,525",23.5,38-375,9.7,14-293,20.9,38.7,"76-3,277",37-43,19,84-728,45.5,29:37,11-4,0,16
84,Offense--bal-2008,23.9,383,42,300,132,147,21,95-232,40.95,7-11,63.64,261-433,2808,7.1,175.5,16,12,33-277,592,2376,4.0,148.5,20,1058,5461,341.3,"76-1,720",22.6,44-378,6.4,26-477,18.3,42.0,"84-3,777",28-35,11,103-785,49,33:22,26-9,0,16,2008,85,11.6,244,26,228,58,152,18,71-212,33.49,3-16,18.75,276-528,2875,5.9,179.7,17,26,34-257,366,1302,3.6,81.4,4,928,4434,277.1,"50-1,007",20.1,38-245,8.6,12-104,8.7,39.1,"91-3,938",21-22,20,114-792,49.5,27:00,19-8,0,16
86,Offense--bal-2009,24.4,391,47,320,115,187,18,89-214,41.59,6-13,46.15,321-510,3419,7.1,213.7,21,13,36-218,468,2200,4.7,137.5,22,1014,5837,364.8,"77-1,565",20.3,39-290,7.6,22-346,15.7,39.7,"73-3,188",21-30,5,"115-1,094",68,29:33,19-7,0,16,2009,87,13.1,261,27,280,82,164,34,80-218,36.70,7-17,41.18,306-524,3316,6.7,207.3,17,22,32-190,435,1492,3.4,93.3,8,991,4998,312.4,"59-1,547",26.2,38-287,7.4,13-195,15.0,39.7,"79-3,426",24-27,12,88-741,46.313,30:57,20-9,0,16
88,Offense--bal-2010,22.3,357,40,303,97,175,31,82-210,39.05,4-10,40.00,308-491,3335,7.4,208.4,25,10,40-294,487,1831,3.8,114.4,11,1018,5460,341.3,38-987,26.0,43-319,8.1,19-289,15.2,40.2,"81-3,530",26-29,51,90-673,42,31:20,21-8,0,16,2010,89,12.9,270,27,284,79,187,18,87-229,37.99,6-12,50.00,349-596,3599,6.4,224.9,22,19,27-190,384,1503,3.9,93.9,5,1007,5292,330.8,"55-1,357",24.7,34-275,7.4,10-191,19.1,40.0,"89-3,875",27-32,18,117-984,61.5,29:55,24-6,0,16
90,Offense--bal-2011,23.6,378,41,312,98,181,33,97-229,42.36,4-7,57.14,314-544,3423,6.7,213.9,21,12,33-206,459,1996,4.3,124.8,15,1036,5625,351.6,"36-1,050",29.2,36-345,11.9,15-175,11.7,41.1,"73-3,393",30-39,54,92-742,46,30:35,23-10,0,16,2011,91,13.3,266,26,269,79,166,24,71-221,32.13,10-21,47.62,288-535,3140,6.4,196.3,11,15,48-290,419,1482,3.5,92.6,10,1002,4912,307.0,"42-1,047",24.9,33-392,9.6,12-159,13.3,39.5,"86-3,746",28-31,38,"103-1,032",64.5,29:24,27-11,0,16
92,Offense--bal-2012,24.9,398,44,314,98,182,34,80-217,36.87,6-14,42.86,334-560,3739,7.1,233.7,22,11,38-257,444,1901,4.3,118.8,17,1042,5897,368.6,37-859,23.2,43-404,7.8,13-196,15.1,42.5,"83-3,911",30-33,55,"121-1,127",70,28:39,14-4,0,16,2012,93,17.2,344,33,326,105,187,34,83-232,35.78,6-12,50.00,335-557,3650,7.0,228.1,15,13,37-250,492,1965,4.0,122.8,15,1086,5865,366.6,"60-1,636",27.3,49-383,9.4,11-231,21.0,41.7,"89-4,113",37-39,27,107-929,58.063,32:25,22-10,0,16
94,Offense--bal-2013,20.0,320,29,295,68,189,38,92-253,36.36,6-16,37.50,363-619,3590,6.3,224.4,19,23,48-324,423,1328,3.1,83.0,7,1090,5242,327.6,38-873,23.0,43-609,9.1,16-160,10.0,40.9,"90-4,138",38-41,51,112-942,58,30:20,13-4,0,16,2013,95,16.8,352,37,284,79,176,29,78-233,33.48,8-14,57.14,314-552,3681,7.1,230.1,25,16,40-257,440,1687,3.8,105.4,7,1032,5625,351.6,"44-1,163",26.4,46-419,14.2,23-219,9.5,39.5,"98-4,484",32-35,41,"126-1,196",74.75,30:38,17-4,0,16
96,Offense--bal-2014,25.6,409,46,345,113,194,38,84-205,40.98,9-18,50.00,344-554,3819,7.2,238.7,27,12,19-167,448,2019,4.5,126.2,16,1021,6005,375.3,26-601,23.1,32-292,7.2,11-135,12.3,44.6,"60-2,841",29-34,68,111-870,54,29:39,15-8,2,16,2014,97,15.1,302,30,311,75,205,31,89-221,40.27,5-14,35.71,382-595,3979,7.3,248.7,22,11,49-362,390,1412,3.6,88.3,8,1034,5753,359.6,"38-1,077",28.3,23-166,9.1,12-149,12.4,42.1,"75-3,489",30-36,48,"110-1,007",62.938,30:20,22-10,-2,16
98,Offense--bal-2015,20.5,328,33,323,89,211,23,85-226,37.61,12-24,50.00,426-676,4271,6.6,266.9,21,21,24-178,383,1478,3.9,92.4,8,1083,5927,370.4,9-229,25.4,40-450,5.0,6-51,8.5,44.3,"74-3,454",33-40,85,"122-1,153",72,30:32,13-7,-14,16,2015,99,19.1,401,45,311,80,189,42,86-216,39.82,4-9,44.44,350-545,3737,7.3,233.6,30,6,37-220,418,1661,4.0,103.8,10,1000,5618,351.1,34-857,25.2,35-176,11.3,21-340,16.2,40.3,"80-3,715",30-36,60,103-748,46.75,30:35,17-6,14,16
100,Offense--bal-2016,21.4,343,32,316,79,205,32,86-233,36.91,8-19,42.11,439-679,4100,6.4,256.3,20,16,33-243,367,1463,4.0,91.4,10,1079,5806,362.9,27-559,20.7,32-246,11.4,18-178,9.9,41.1,"80-3,665",38-39,64,"125-1,111",69,30:45,16-7,5,16,2016,101,16.0,319,39,294,74,190,30,75-214,35.05,11-16,68.75,369-578,3724,6.8,232.8,28,18,31-223,384,1430,3.7,89.4,10,993,5377,336.1,28-636,22.7,33-375,7.7,16-169,10.6,42.2,"90-4,089",16-22,55,95-900,56.25,29:14,24-8,-5,16
102,Offense--bal-2017,24.7,395,42,311,111,168,32,76-223,34.08,10-16,62.50,363-567,3030,5.7,189.4,20,13,27-205,460,1856,4.0,116.0,14,1054,5091,318.2,33-615,18.6,32-322,8.1,22-385,17.5,41.0,"84-3,765",34-37,61,91-749,46,30:52,17-4,17,16,2017,103,15.2,303,32,296,87,179,30,82-222,36.94,6-16,37.50,333-569,3421,6.5,213.8,18,22,41-280,435,1780,4.1,111.3,12,1045,5481,342.6,34-936,27.5,34-277,10.1,13-340,26.2,40.5,"77-3,438",28-33,53,96-807,50.438,29:36,20-12,-17,16
104,Offense--bal-2018,24.3,389,41,367,153,184,30,104-231,45.02,13-22,59.09,334-556,3558,6.7,222.4,18,9,32-150,547,2441,4.5,152.6,19,1135,6149,384.3,32-745,23.3,35-404,10.2,12-99,8.3,41.4,"60-2,842",35-39,63,116-940,58,32:54,25-11,-3,16,2018,105,14.4,287,33,286,82,174,30,72-211,34.12,10-20,50.00,337-577,3360,6.3,210.0,21,12,43-291,354,1327,3.7,82.9,11,974,4978,311.1,32-707,22.1,31-315,11.5,9-39,4.3,39.1,"88-3,849",20-26,52,"113-1,017",63.563,28:14,13-5,3,16
106,Offense--bal-2019,33.1,529,64,386,188,171,27,88-187,47.06,17-24,70.83,289-440,3225,7.6,201.6,37,8,28-125,596,3296,5.5,206.0,21,1064,6646,415.4,"48-1,030",21.5,25-206,9.5,13-259,19.9,41.8,"40-1,855",28-29,54,109-867,54,34:47,16-7,10,16,2019,107,17.6,282,29,276,74,163,39,72-194,37.11,6-18,33.33,318-544,3315,6.6,207.2,15,13,37-268,340,1494,4.4,93.4,12,921,5077,317.3,27-493,18.3,15-143,8.2,8-31,3.9,43.5,"64-2,990",27-31,58,97-795,49.688,25:30,20-11,-10,16
108,Offense--bal-2020,29.3,468,55,327,166,142,19,101-207,48.79,12-19,63.16,257-406,2739,7.2,171.2,27,11,32-180,555,3071,5.5,191.9,24,993,5990,374.4,30-634,21.1,27-244,5.7,10-78,7.8,42.6,"53-2,368",26-29,68,104-961,60,31:30,19-7,4,16,2020,109,18.9,303,37,347,96,213,38,65-191,34.03,16-35,45.71,380-596,3536,6.4,221.0,22,10,39-272,382,1740,4.6,108.8,12,1017,5548,346.8,23-613,26.7,19-108,9.0,11-58,5.3,42.5,"61-2,838",16-24,62,77-646,40.375,28:47,25-12,-4,16
110,Offense--bal-2021,22.8,387,40,394,159,209,26,82-225,36.44,18-27,66.67,396-611,3961,7.0,233.0,21,18,57-306,517,2479,4.8,145.8,18,1185,6746,396.8,32-737,23.0,26-360,7.4,9-38,4.2,41.1,"71-3,149",35-37,52,102-852,50,33:16,21-8,-11,17,2021,111,23.1,392,48,340,81,232,27,70-201,34.83,11-18,61.11,397-621,4742,8.0,278.9,31,9,34-244,378,1436,3.8,84.5,13,1033,6422,377.8,39-724,18.6,31-228,13.8,18-157,8.7,41.3,"83-3,788",21-28,60,98-882,51.882,28:24,13-6,300,17
112,Offense--bal-2022,20.6,350,34,337,167,149,21,91-218,41.74,8-20,40.00,300-488,3040,6.6,178.8,19,13,38-162,526,2720,5.2,160.0,14,1052,5922,348.4,27-659,24.4,20-214,6.8,14-105,7.5,43.3,"57-2,618",37-43,70,82-678,39,31:09,21-8,4,17,2022,113,18.5,315,32,323,91,206,26,73-209,34.93,15-24,62.50,394-593,3947,7.2,232.2,20,14,48-305,406,1566,3.9,92.1,11,1047,5818,342.2,26-552,21.2,22-149,10.7,13-62,4.8,43.6,"68-3,180",31-38,61,79-650,38.235,28:50,19-11,266,17
114,Offense--buf-2004,24.7,395,46,271,102,149,20,77-215,35.81,10-21,47.62,262-461,2817,6.6,176.1,21,17,38-215,483,1874,3.9,117.1,15,982,4906,306.6,"77-1,406",18.3,46-491,8.5,24-333,13.9,39.1,"78-3,362",24-28,4,"121-1,047",65,30:20,25-10,0,16,2004,115,14.2,284,29,258,79,150,29,77-214,35.98,11-15,73.33,261-486,2624,6.1,164.0,20,24,45-319,447,1604,3.6,100.3,6,978,4547,284.2,"63-1,542",24.5,37-315,10.7,17-357,21.0,35.0,"78-3,218",27-32,8,120-865,54.063,29:39,30-13,0,16
116,Offense--buf-2005,16.9,271,26,259,96,129,34,74-201,36.82,6-16,37.50,269-459,2515,6.2,157.2,18,16,43-337,428,1607,3.8,100.4,6,930,4459,278.7,"64-1,308",20.4,28-279,6.8,17-233,13.7,41.6,"71-3,242",29-35,3,120-897,56,29:03,26-9,0,16,2005,117,17.5,367,44,343,146,169,28,93-200,46.50,7-12,58.33,314-503,3291,7.1,205.7,19,17,38-269,489,2205,4.5,137.8,22,1030,5765,360.3,"75-1,992",26.6,42-285,10.0,16-209,13.1,35.7,"62-2,492",19-25,5,124-904,56.5,30:56,23-11,0,16
118,Offense--buf-2006,18.8,300,33,234,82,132,20,63-199,31.66,5-11,45.46,268-431,2719,7.1,169.9,19,14,47-332,420,1552,3.7,97.0,9,898,4603,287.7,"60-1,279",21.3,39-422,7.4,13-203,15.6,40.7,"92-4,012",23-25,7,87-629,39,28:04,27-14,0,16,2006,119,15.6,311,35,298,117,168,13,79-216,36.57,11-17,64.71,324-513,3019,6.4,188.7,18,13,40-265,476,2254,4.7,140.9,14,1029,5538,346.1,"63-1,503",23.9,36-265,10.8,14-198,14.1,37.1,"85-3,578",22-26,8,90-709,44.313,31:55,24-7,0,16
120,Offense--buf-2007,16.8,252,25,248,91,141,16,65-195,33.33,8-18,44.44,263-445,2634,6.4,164.6,12,14,26-208,448,1800,4.0,112.5,8,919,4642,290.1,"56-1,150",20.5,31-476,5.3,18-193,10.7,38.3,"81-3,302",24-27,9,78-633,39,28:50,18-7,0,16,2007,121,16.5,346,39,322,104,203,15,101-224,45.09,10-22,45.46,354-567,3814,7.0,238.4,19,18,26-144,454,1993,4.4,124.6,15,1047,5951,371.9,"70-1,448",20.7,37-196,15.4,14-291,20.8,34.8,"61-2,598",27-30,9,73-567,35.438,31:09,27-9,0,16
122,Offense--buf-2008,22.4,336,35,287,107,167,13,81-203,39.90,7-16,43.75,309-479,3040,6.9,190.0,14,15,38-262,439,1842,4.2,115.1,16,956,5144,321.5,"63-1,247",19.8,30-464,10.4,10-217,21.7,40.9,"58-2,557",30-38,13,71-538,33,30:03,31-14,0,16,2008,123,16.5,329,33,293,113,167,13,73-202,36.14,8-16,50.00,301-492,3271,7.0,204.4,14,10,24-170,455,1946,4.3,121.6,18,971,5387,336.7,"75-1,816",24.2,18-187,15.5,15-169,11.3,38.4,"64-2,920",34-41,6,72-540,33.75,29:56,20-10,0,16
124,Offense--buf-2009,16.1,258,25,233,81,126,26,51-198,25.76,7-15,46.67,256-441,2515,6.3,157.2,17,19,46-274,424,1867,4.4,116.7,6,911,4656,291.0,"59-1,271",21.5,33-218,7.7,28-335,12.0,42.4,"90-4,192",28-33,9,107-855,53,28:11,24-7,0,16,2009,125,15.5,326,37,310,134,157,19,97-240,40.42,14-26,53.85,295-519,2948,6.0,184.3,14,28,32-189,535,2501,4.7,156.3,19,1086,5638,352.4,"64-1,517",23.7,49-377,6.6,19-194,10.2,38.4,"78-3,216",22-28,9,107-919,57.438,32:34,21-4,0,16
126,Offense--buf-2010,17.7,283,34,263,82,166,15,80-211,37.92,11-24,45.83,296-519,3158,6.5,197.4,24,21,34-213,401,1720,4.3,107.5,6,954,5091,318.2,"57-1,238",21.7,32-336,9.3,11-210,19.1,38.4,"75-3,181",16-21,12,82-633,39,28:35,32-14,0,16,2010,127,20.1,423,48,335,138,179,18,98-227,43.17,7-10,70.00,294-473,3072,6.9,192.0,28,11,27-181,571,2714,4.8,169.6,18,1071,5967,372.9,"69-1,458",21.1,32-299,10.5,21-330,15.7,37.3,"71-2,986",29-39,18,85-634,39.625,33:23,19-9,0,16
128,Offense--buf-2011,23.3,372,43,313,100,180,33,62-191,32.46,9-22,40.91,356-578,3703,6.7,231.4,24,25,23-154,391,1921,4.9,120.1,12,992,5778,361.1,"56-1,144",20.4,26-329,11.5,20-341,17.1,41.4,"72-3,472",23-31,24,86-743,46,30:10,14-5,0,16,2011,129,21.7,434,53,340,120,196,24,75-189,39.68,9-13,69.23,321-507,3714,7.7,232.1,30,20,29-210,467,2224,4.8,139.0,19,1003,6148,384.3,37-853,23.1,43-494,12.7,25-327,13.1,39.9,"68-3,039",21-25,59,85-871,54.438,29:49,21-9,0,16
130,Offense--buf-2012,21.5,344,40,301,103,176,22,77-198,38.89,5-8,62.50,309-511,3269,6.7,204.3,24,17,30-161,442,2217,5.0,138.6,12,983,5647,352.9,"51-1,144",22.4,26-445,14.8,12-178,14.8,37.8,"80-3,542",21-24,27,104-871,54,30:11,23-16,0,16,2012,131,20.7,435,53,349,136,182,31,92-209,44.02,6-12,50.00,306-536,3473,6.8,217.1,25,12,36-196,470,2333,5.0,145.8,23,1042,6002,375.1,"42-1,136",27.0,35-517,17.1,17-256,15.1,38.4,"72-3,210",21-28,54,80-693,43.313,30:03,24-8,0,16
132,Offense--buf-2013,21.2,339,34,301,113,149,39,83-244,34.02,4-14,28.57,299-522,3103,6.5,193.9,16,15,48-270,546,2307,4.2,144.2,15,1116,5680,355.0,"48-1,122",23.4,39-243,10.6,23-289,12.6,38.0,"96-4,124",33-36,41,110-952,59,28:43,31-11,0,16,2013,133,18.5,388,42,308,98,170,40,91-245,37.14,4-10,40.00,310-561,3271,6.5,204.4,28,23,57-395,471,2063,4.4,128.9,10,1089,5729,358.1,23-469,20.4,45-477,6.2,15-298,19.9,42.9,"94-4,274",31-36,72,108-931,58.188,31:59,18-7,0,16
134,Offense--buf-2014,21.3,341,34,273,65,186,22,84-229,36.68,6-14,42.86,363-579,3614,6.7,225.9,23,13,39-242,402,1482,3.7,92.6,7,1020,5338,333.6,32-639,20.0,37-354,6.5,19-322,16.9,40.1,"86-3,692",34-38,58,"124-1,031",64,29:44,20-10,7,16,2014,135,14.3,285,28,302,89,171,42,73-220,33.18,5-11,45.46,337-559,3292,6.4,205.8,16,19,54-308,414,1703,4.1,106.4,10,1027,5303,331.4,33-770,23.3,38-246,9.6,13-172,13.2,39.5,"86-3,834",30-37,53,104-849,53.063,30:34,20-9,-7,16
136,Offense--buf-2015,23.6,377,45,297,122,155,20,86-227,37.89,7-16,43.75,295-465,3343,7.7,208.9,23,9,42-257,509,2432,4.8,152.0,19,1016,6032,377.0,40-688,17.2,31-232,8.8,17-253,14.9,42.0,"82-3,797",23-27,50,"143-1,249",78,31:18,27-10,6,16,2015,137,18.0,359,42,321,87,197,37,85-210,40.48,3-13,23.08,347-602,3972,6.8,248.3,30,17,21-125,394,1730,4.4,108.1,10,1017,5827,364.2,41-772,18.8,40-353,7.5,9-75,8.3,40.6,"75-3,277",22-27,47,113-906,56.625,28:41,14-4,-6,16
138,Offense--buf-2016,24.9,399,49,328,146,155,27,86-210,40.95,8-15,53.33,286-474,3036,6.9,189.8,17,7,46-214,492,2630,5.3,164.4,29,1012,5880,367.5,46-999,21.7,28-314,6.7,12-207,17.3,38.9,"75-3,183",19-25,42,112-960,60,29:47,14-5,6,16,2016,139,18.6,372,40,338,122,183,33,82-205,40.00,4-14,28.57,306-511,3582,7.5,223.9,19,12,39-253,468,2130,4.6,133.1,21,1018,5965,372.8,39-829,21.3,39-262,11.2,7-87,12.4,38.7,"69-3,024",30-32,52,106-884,55.25,31:05,23-5,-6,16
140,Offense--buf-2017,18.9,302,31,278,105,149,24,101-241,41.91,2-15,13.33,289-476,2825,6.5,176.6,16,10,47-261,487,2017,4.1,126.1,12,1010,5103,318.9,31-681,22.0,24-213,5.5,18-275,15.3,42.0,"79-3,529",29-33,50,98-872,54,28:20,16-6,9,16,2017,141,18.0,359,38,348,121,199,28,82-214,38.32,11-20,55.00,370-573,3688,6.7,230.5,14,18,27-156,466,1994,4.3,124.6,22,1066,5838,364.9,32-640,20.0,38-210,8.9,10-190,19.0,39.6,"62-2,670",32-35,59,97-873,54.563,32:11,24-6,-9,16
142,Offense--buf-2018,16.7,267,29,283,108,137,38,68-215,31.63,7-18,38.89,271-499,2794,6.2,174.6,13,23,41-288,468,1984,4.2,124.0,15,1008,5066,316.6,34-754,22.2,31-207,8.7,16-133,8.3,39.2,"81-3,513",22-28,45,116-992,62,30:29,22-9,-5,16,2018,143,17.8,374,44,293,111,157,25,74-203,36.45,6-11,54.55,313-492,2867,6.3,179.2,22,16,36-217,440,1839,4.2,114.9,17,968,4923,307.7,38-807,21.2,34-297,6.7,23-347,15.1,41.9,"80-3,555",24-27,51,99-976,61,29:30,29-10,5,16
